age;gender;w2efftrst14;w2efftrst15;w2efftrst16;w2efftrst18;populism_sum;populism;w2eupan1;w2eupan2;w2eupan3;w2eupan4;w2eupan5;w2eupan6;w2eupan7;w2eupan8;w2eupan9;w2eupan10;nativism_sum;nativism;w5EUref1;w6EUref1;w7EUref1;w10EUref1
59;0;;;;;;;;;;;;;;;;;;;3;3;3;3
77;1;;;;;;;;;;;;;;;;;;;1;1;1;1
70;0;;;;;;;;;;;;;;;;;;;1;1;1;1
33;1;4;5;4;2;15;3,75;3;3;4;3;5;2;3;1;4;1;29;2,9;1;1;1;3
39;1;5;4;4;4;17;4,25;2;2;3;3;4;2;3;1;3;1;24;2,4;;;;
53;1;;;;;;;;;;;;;;;;;;;1;1;1;1
63;1;;;;;;;;;;;;;;;;;;;2;1;1;
73;1;;;;;;;;;;;;;;;;;;;1;;;
54;0;;;;;;;;;;;;;;;;;;;3;3;3;
70;0;;;;;;;;;;;;;;;;;;;3;3;3;3
69;1;;;;;;;;;;;;;;;;;;;3;;;
42;1;;;;;;;;;;;;;;;;;;;3;1;1;1
58;1;;;;;;;;;;;;;;;;;;;2;;;
56;0;;;;;;;;;;;;;;;;;;;1;1;1;1
76;0;;;;;;;;;;;;;;;;;;;3;3;3;
63;0;3;3;4;5;15;3,75;5;2;5;2;5;1;4;4;1;2;31;3,1;3;;;
48;1;2;4;4;4;14;3,5;4;2;4;2;5;2;4;2;3;1;29;2,9;3;3;3;3
39;1;;;;;;;;;;;;;;;;;;;;;;
34;1;4;3;3;4;14;3,5;3;2;2;2;4;2;3;2;3;1;24;2,4;;;;
44;0;;;;;;;;;;;;;;;;;;;1;1;1;
68;1;;;;;;;;;;;;;;;;;;;1;1;1;
59;1;4;4;4;5;17;4,25;5;5;5;5;5;5;5;5;5;4;49;4,9;3;3;3;3
63;0;;;;;;;;;;;;;;;;;;;1;1;1;1
37;1;5;4;5;5;19;4,75;4;5;5;5;5;4;5;4;5;4;46;4,6;;;;
68;0;5;5;5;5;20;5;4;5;5;5;5;4;5;2;5;1;41;4,1;;;;
44;0;;;;;;;;;;;;;;;;;;;2;2;2;2
38;0;;;;;;;;;;;;;;;;;;;3;3;3;
53;0;;;;;;;;;;;;;;;;;;;3;3;3;3
58;1;;;;;;;;;;;;;;;;;;;2;2;2;3
34;0;;;;;;;;;;;;;;;;;;;1;1;1;1
57;0;3;4;4;5;16;4;5;2;3;2;3;2;2;3;5;2;29;2,9;1;1;1;1
50;0;;;;;;;;;;;;;;;;;;;2;2;2;
68;0;;;;;;;;;;;;;;;;;;;3;;;
35;1;;;;;;;;;;;;;;;;;;;1;;;
44;0;;;;;;;;;;;;;;;;;;;3;;;
52;1;;;;;;;;;;;;;;;;;;;3;;;
37;1;3;5;4;4;16;4;1;3;3;3;4;3;3;2;4;2;28;2,8;;;;
54;1;4;4;4;5;17;4,25;1;1;1;3;3;1;2;1;1;1;15;1,5;1;1;1;
49;1;5;5;5;5;20;5;5;5;5;5;5;3;5;5;5;5;48;4,8;3;3;3;3
68;0;4;4;4;5;17;4,25;3;3;3;3;5;3;3;4;4;2;33;3,3;1;1;1;
51;0;;;;;;;;;;;;;;;;;;;3;3;3;3
64;1;;;;;;;;;;;;;;;;;;;;;;
29;0;;;;;;;;;;;;;;;;;;;1;1;1;
71;1;4;4;3;4;15;3,75;1;2;2;2;3;1;2;1;2;1;17;1,7;;;;
45;0;;;;;;;;;;;;;;;;;;;1;1;1;1
59;0;;;;;;;;;;;;;;;;;;;1;1;1;1
