age,gender,education_level,government_region,W8wave5,W8wave6,W8wave7,w1rwa11,w1rwa21,w1rwa31,w1wing1a,w1EQUALITY1,w2UKparty1,w2UKparty2,w2UKparty3,w2trdegl5,w2trdegl7,w2trdegl8,w2trdegl9,w2efftrst1,w2efftrst2,w2efftrst3,w2efftrst4,w2efftrst5,w2efftrst6,w2efftrst14,w2efftrst15,w2efftrst16,w2efftrst18,w2natid1,w2natid2,w2natid3,w2natid4,w2eupan1,w2eupan2,w2eupan3,w2eupan4,w2eupan5,w2eupan6,w2eupan7,w2eupan8,w2eupan9,w2eupan10,w5econ1,w5econ2,w5econp1,w5econp2,w5EUref1,w6econ1,w6econ2,w6econp1,w6econp2,w6EUref1,w7cgreed,w7banks,w7EUref1,Weight_wave10,w10econ1,w10econ2,w10econp1,w10econp2,w10EUref1
59,Male,onc,North West,.5956164056448539,.5197808853907927,.5204293002316485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little worse,Got a little worse,Get a little worse,Get a little worse,I would vote for Britain to leave the European Union.,Gotten a little worse,Gotten a little worse,Get a little worse,Get a little worse,I would vote for Britain to leave the European Union,Strongly agree,Strongly agree,I would vote for Britain to leave the European Union,1.149204610531414,Got a little worse,Got a little worse,Get a little worse,Get a little worse,I would vote for Britain to leave the European Union.
77,Female,GCE A level or Higher Certificate,East Midlands,1.781531356979982,1.43798040641487,1.415862474179546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stayed the same,Got a little worse,Get a little worse,Stay the same,I would vote for Britain to remain a member of the European Union.,Stayed the same,Gotten a little worse,Get a little worse,Stay the same,I would vote for Britain to remain a member of the European Union,Agree,Agree,I would vote for Britain to remain a member of the European Union,1.335946110546623,Stayed the same,Got a little worse,Get a little worse,Stay the same,I would vote for Britain to remain a member of the European Union.
70,Male,City and Guild certificate - advanced,East Midlands,1.009319937028825,.8606125013911983,.866422138827614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stayed the same,Stayed the same,Stay the same,Get a little better,I would vote for Britain to remain a member of the European Union.,Gotten a little better,Stayed the same,Stay the same,Stay the same,I would vote for Britain to remain a member of the European Union,Agree,Agree,I would vote for Britain to remain a member of the European Union,.6681418445369467,Stayed the same,Stayed the same,Stay the same,Stay the same,I would vote for Britain to remain a member of the European Union.
33,Female,"University or CNAA first degree (eg BA, B.Sc, B.Ed)",London,1.423914927935348,1.738098390244475,1.894815482546682,Strongly agree,Strongly agree,Strongly agree,4,2,,Liberal Democrat,,Don’t know,Don’t know,Don’t know,Don’t know,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,Disagree,Disagree,Neither unimportant nor important,Don’t know,Don’t know,Extremely important,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Disagree,Neither agree nor disagree,Strongly disagree,Agree,Strongly agree,Stayed the same,Stayed the same,Get a lot worse,Get a little worse,I would vote for Britain to remain a member of the European Union.,Stayed the same,Stayed the same,Stay the same,Get a little better,I would vote for Britain to remain a member of the European Union,Agree,Strongly agree,I would vote for Britain to remain a member of the European Union,1.833683237944365,Stayed the same,Stayed the same,Get a little worse,Stay the same,I would vote for Britain to leave the European Union.
39,Female,"University or CNAA higher degree (eg M.Sc, Ph.D)",South West,,,,Strongly disagree,Strongly disagree,Strongly disagree,4,7 -  Government should do more to reduce income inequality.,,,Don't know,Don’t know,Don’t know,Don’t know,Don’t know,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Agree,Neither unimportant nor important,Don’t know,Always,Neither unimportant nor important,Disagree,Agree,Don’t know,Neither agree nor disagree,Disagree,Disagree,Don’t know,Strongly disagree,Don’t know,Strongly agree,,,,,,,,,,,,,,,,,,,
53,Female,Scottish Higher Certificate,Scotland,1.431087902387885,1.583393843652857,1.693027412253086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little better,Got a little better,Get a little better,Get a little better,I would vote for Britain to remain a member of the European Union.,Gotten a little better,Gotten a little better,Get a little better,Get a little better,I would vote for Britain to remain a member of the European Union,Disagree,Agree,I would vote for Britain to remain a member of the European Union,1.503994094351349,Got a little better,Got a little better,Get a little better,Get a little better,I would vote for Britain to remain a member of the European Union.
63,Female,"CSE grade 1, GCE O level, GCSE, School Certificate",West Midlands,.757606858657394,.7671469155701859,.7235846859880979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little better,Stayed the same,Stay the same,Get a little better,Don't know,Gotten a little better,Stayed the same,Stay the same,Get a little better,I would vote for Britain to remain a member of the European Union,Agree,Strongly agree,I would vote for Britain to remain a member of the European Union,,,,,,
73,Female,"University or CNAA first degree (eg BA, B.Sc, B.Ed)",South East,1.275534414575574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little better,Got a little worse,Stay the same,Get a little better,I would vote for Britain to remain a member of the European Union.,,,,,,,,,,,,,,
54,Male,"University or CNAA first degree (eg BA, B.Sc, B.Ed)",Yorkshire and the Humber,.5956164056448539,.3706240855356125,.2982354805372686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a lot worse,Got a little worse,Get a little worse,Get a lot worse,I would vote for Britain to leave the European Union.,Gotten a lot worse,Gotten a little worse,Get a lot worse,Get a lot worse,I would vote for Britain to leave the European Union,Strongly agree,Strongly agree,I would vote for Britain to leave the European Union,,,,,,
70,Male,City and Guild certificate,Wales,.4286099341016074,.3579728130704841,.3659009125946382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little worse,Got a little worse,Get a little worse,Get a little worse,I would vote for Britain to leave the European Union.,Gotten a little worse,Gotten a little worse,Get a little worse,Get a little worse,I would vote for Britain to leave the European Union,Strongly agree,Strongly agree,I would vote for Britain to leave the European Union,.7200774338922333,Got a little better,Got a little better,Get a little worse,Get a little worse,I would vote for Britain to leave the European Union.
