V101,veto_app,rep,dem,ind,pres_app,cong_app,ed,ideol,weight,pres_cong_diff,cong_rate,cong_rate2,house_know,senate_know,chamber_know,news_int,pres_bin,cong_bin,col_grad
302379333,1,0,1,0,3,2,6,1,1.115655469,1,1,1,1,1,2,4,1,0,1
302510528,NA,0,1,0,2,2,2,0,1.586266643,0,1,1,0,0,0,3,0,0,0
302602907,1,0,1,0,2,3,3,0,0.681368733,-1,1,2,0,0,0,1,0,1,0
302641225,2,0,1,0,3,1,5,1,0.997450981,2,1,1,1,1,2,4,1,0,1
302744683,2,0,1,0,NA,1,2,-1,0.352363942,NA,1,1,0,0,0,3,NA,0,0
303100754,2,0,1,0,3,1,2,0,1.531624657,2,1,1,1,1,2,4,1,0,0
303215637,2,0,1,0,3,NA,6,0,0.894719601,NA,0,0,0,0,0,3,1,NA,1
303268121,0,0,1,0,3,2,4,0,0.946776301,1,1,1,1,1,2,4,1,0,0
303316893,-1,0,1,0,3,3,5,1,0.836007216,0,1,2,1,0,1,4,1,1,1
303359871,1,0,1,0,4,2,3,1,4.685700015,2,1,1,1,1,2,4,1,0,0
303386947,1,0,1,0,4,3,4,-2,1.065865589,1,1,2,0,0,0,4,1,1,0
303473471,1,0,1,0,2,2,5,0,1.065312787,0,1,1,1,0,1,1,0,0,1
303991981,0,0,1,0,3,4,2,-1,1.774588354,-1,1,2,0,0,0,4,1,1,0
304251410,-1,0,1,0,4,3,3,0,0.288983509,1,1,2,0,1,1,3,1,1,0
304383672,2,0,1,0,4,3,3,-1,0.704450466,1,1,2,0,0,0,3,1,1,0
304654289,1,0,1,0,3,NA,2,1,3.886350262,NA,0,0,0,0,0,4,1,NA,0
305063498,-1,0,1,0,1,1,2,0,1.740074288,0,1,1,0,0,0,3,0,0,0
302486419,-1,0,1,0,4,3,3,1,1.068956415,1,1,2,1,1,2,4,1,1,0
302518537,1,0,1,0,4,1,2,1,1.156854516,3,1,1,1,1,2,4,1,0,0
302522193,2,0,1,0,4,1,5,1,0.54434918,3,1,1,1,1,2,4,1,0,1
302526062,2,0,1,0,4,1,5,0,0.753725657,3,1,1,1,1,2,4,1,0,1
302632637,-1,0,1,0,4,2,2,2,0.509065465,2,1,1,0,0,0,3,1,0,0
302788272,1,0,1,0,4,3,5,-2,0.426175915,1,1,2,0,0,0,4,1,1,1
302885059,2,0,1,0,4,2,6,0,0.997371653,2,1,1,1,1,2,4,1,0,1
303020930,2,0,1,0,4,1,4,1,0.831511944,3,1,1,1,1,2,4,1,0,0
303057532,1,0,1,0,4,1,3,2,1.076507484,3,1,1,1,1,2,3,1,0,0
303111136,2,0,1,0,4,1,5,0,1.193234777,3,1,1,1,1,2,4,1,0,1
303263546,2,0,1,0,4,1,4,1,0.334976363,3,1,1,1,0,1,3,1,0,0
303293565,1,0,1,0,4,3,5,0,0.141731308,1,1,2,0,0,0,3,1,1,1
303311527,1,0,1,0,4,3,5,1,0.402189761,1,1,2,0,0,0,3,1,1,1
303332640,2,0,1,0,3,4,6,2,0.654926647,-1,1,2,1,0,1,4,1,1,1
303333447,1,0,1,0,4,2,3,2,0.361066798,2,1,1,1,1,2,3,1,0,0
303381075,0,0,1,0,4,1,2,0,0.214683973,3,1,1,0,1,1,NA,1,0,0
303432162,1,0,1,0,3,1,5,1,0.997450981,2,1,1,1,1,2,4,1,0,1
303450338,1,0,1,0,4,2,3,1,1.487322067,2,1,1,1,1,2,4,1,0,0
303483821,1,0,1,0,3,2,5,1,0.997450981,1,1,1,1,1,2,4,1,0,1
303484274,-1,0,1,0,3,3,4,2,1.578381452,0,1,2,1,0,1,3,1,1,0
303490547,2,0,1,0,4,3,2,1,0.336086024,1,1,2,0,0,0,2,1,1,0
303491075,0,0,1,0,2,1,2,2,0.441183155,1,1,1,1,1,2,3,0,0,0
303520535,2,0,1,0,4,2,3,0,0.254379277,2,1,1,0,1,1,3,1,0,0
303520920,1,0,1,0,4,1,2,1,1.156854516,3,1,1,1,1,2,4,1,0,0
303535465,2,0,1,0,4,1,4,1,1.659226252,3,1,1,0,0,0,4,1,0,0
303606281,1,0,1,0,4,2,6,2,0.336502554,2,1,1,1,1,2,2,1,0,1
303646861,2,0,1,0,3,4,6,1,0.578838745,-1,1,2,0,0,0,4,1,1,1
303668665,1,0,1,0,3,3,6,0,0.618486305,0,1,2,1,0,1,3,1,1,1
303680197,2,0,1,0,4,4,6,0,0.578838745,0,1,2,1,0,1,4,1,1,1
304061472,1,0,1,0,2,4,5,1,0.55895883,-2,1,2,1,0,1,2,0,1,1
304070936,2,0,1,0,4,2,3,-1,0.709440389,2,1,1,1,1,2,4,1,0,0
304227153,2,0,1,0,3,2,2,1,1.531624657,1,1,1,1,1,2,4,1,0,0
304673794,1,0,1,0,4,2,5,1,0.400168839,2,1,1,1,1,2,2,1,0,1
304675405,1,0,1,0,4,1,6,2,0.613567902,3,1,1,0,1,1,4,1,0,1
304761320,0,0,1,0,4,NA,2,1,0.797329791,NA,0,0,0,0,0,2,1,NA,0
304956433,2,0,1,0,4,1,6,0,0.65604502,3,1,1,1,1,2,4,1,0,1
305007020,2,0,1,0,4,3,2,-1,0.03991635,1,1,2,1,1,2,NA,1,1,0
305270781,2,0,1,0,4,NA,1,-1,6.907204832,NA,0,0,0,0,0,3,1,NA,0
302433103,2,0,0,1,1,2,3,-1,1.797280512,-1,1,1,1,1,2,4,0,0,0
302485842,NA,0,0,1,1,1,2,-1,1.408232302,0,1,1,0,0,0,1,0,0,0
302511045,2,0,0,1,1,1,3,0,0.659035251,0,1,1,1,1,2,4,0,0,0
302684361,2,0,0,1,1,1,6,0,0.719177501,0,1,1,1,0,1,4,0,0,1
302774027,2,0,0,1,1,1,3,0,1.560557223,0,1,1,1,1,2,4,0,0,0
302885124,2,0,0,1,1,1,6,-2,0.705804173,0,1,1,1,1,2,4,0,0,1
302966214,-2,0,0,1,1,1,2,-1,1.391704444,0,1,1,0,1,1,4,0,0,0
303184684,-2,0,0,1,1,1,6,0,0.389491682,0,1,1,0,1,1,2,0,0,1
303319716,2,0,0,1,1,3,5,0,0.261255425,-2,1,2,1,1,2,4,0,1,1
303335763,0,0,0,1,3,2,6,0,0.339958484,1,1,1,0,0,0,2,1,0,1
303367064,0,0,0,1,NA,NA,2,0,1.628667307,NA,0,0,0,0,0,3,NA,NA,0
303864602,0,0,0,1,3,1,4,0,0.502663496,2,1,1,1,0,1,2,1,0,0
304104490,1,0,0,1,1,2,3,0,0.6116172,-1,1,1,1,1,2,4,0,0,0
304772372,1,0,0,1,NA,1,2,0,1.064404178,NA,1,1,1,1,2,3,NA,0,0
305007265,1,0,0,1,1,3,3,0,0.988957369,-2,1,2,0,0,0,3,0,1,0
301409306,1,0,1,0,4,1,4,2,0.630387685,3,1,1,1,1,2,4,1,0,0
302522430,2,0,1,0,1,1,5,1,0.735657337,0,1,1,1,1,2,4,0,0,1
302527756,1,0,1,0,4,1,5,0,0.997450981,3,1,1,1,1,2,4,1,0,1
302600699,1,0,1,0,3,3,3,2,0.26558207,0,1,2,0,0,0,3,1,1,0
302601651,-1,0,1,0,3,3,2,1,0.67761002,0,1,2,1,0,1,3,1,1,0
302956850,2,0,1,0,3,1,3,0,0.991987833,2,1,1,1,0,1,4,1,0,0
303060240,2,0,1,0,2,1,5,0,0.733673377,1,1,1,0,0,0,4,0,0,1
303122308,2,0,1,0,4,2,5,0,2.588686363,2,1,1,1,1,2,4,1,0,1
303213776,1,0,1,0,3,3,2,-1,2.187324206,0,1,2,1,1,2,3,1,1,0
303219073,2,0,1,0,4,2,2,0,0.231014351,2,1,1,0,0,0,3,1,0,0
303301740,2,0,1,0,3,1,6,0,0.289590054,2,1,1,1,1,2,3,1,0,1
304527141,2,0,1,0,4,1,3,1,0.42142981,3,1,1,1,1,2,4,1,0,0
305148972,1,0,1,0,4,3,3,0,2.4905819,1,1,2,1,1,2,4,1,1,0
303541863,1,0,0,1,3,2,5,1,0.160635617,1,1,1,0,0,0,3,1,0,1
301366673,2,0,0,1,4,1,2,0,1.531624657,3,1,1,1,1,2,4,1,0,0
302510471,1,0,0,1,2,1,4,0,2.455996767,1,1,1,0,1,1,3,0,0,0
303831589,-1,0,0,1,2,2,2,-1,1.83496254,0,1,1,0,0,0,2,0,0,0
304250361,2,0,0,1,NA,4,2,-1,0.20756531,NA,1,2,1,0,1,NA,NA,1,0
303123930,NA,0,0,1,1,2,3,-1,0.34969184,-1,1,1,1,0,1,4,0,0,0
303630540,NA,0,0,1,1,2,3,-2,0.22264033,-1,1,1,1,1,2,4,0,0,0
